,gold_sents,oreo_pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","On January 26, 2014, a group of residents of Montgomery, Alabama filed this lawsuit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery.[SENTMARKER]The plaintiffs alleged that the city's practice of jailing people for nonpayment of traffic tickets violated the United States and Alabama Constitutions.[SENTMARKER]On May 1, 2014, the court granted the plaintiffs' motion for injunctive relief and ordered the city to comply with certain terms of the settlement agreement.[SENTMARKER]The parties reached a settlement agreement in which the city agreed to pay the plaintiffs the full amount owed."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a resident of Montgomery, Alabama, filed this lawsuit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and the Judges of the Montgomery Municipal Court.[SENTMARKER]The plaintiff sought declaratory and injunctive relief, claiming that the defendants' policies and practices violated her right to due process and her Sixth Amendment right to counsel.[SENTMARKER]On November 17, 2014, the court granted the plaintiff's motion for summary judgment, and the parties agreed to implement a new set of judicial procedures.[SENTMARKER]The case was closed on November 17, 2014."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","In 2006, a group of death row inmates filed a lawsuit in the U.S. District Court for the District of Arkansas challenging the state's three-chemical lethal injection protocol.[SENTMARKER]The plaintiffs alleged that the protocol created a significant risk of inflicting severe pain in the administration of the death sentence, and that the State's use of this protocol demonstrated deliberate indignities to the plaintiffs' serious medical needs.[SENTMARKER]In particular, the plaintiffs claimed that Arkansas's protocol was substantially identical to the protocol used by the State of Missouri.[SENTMARKER]The court dismissed the case, finding that the plaintiffs had failed to come forward with evidence that the Arkansas protocol for execution by lethal injection subjects them to a constitutionally significant pain risk of pain."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","On August 23, 2018, a class action lawsuit was filed in the U.S. District Court for the District of Arizona against Treatment Assessment Screening Center, Inc. (TASC) in the Phoenix Division.[SENTMARKER]The plaintiffs alleged that TASC violated the Fourteenth and Fourteenth Amendments by discriminating on the basis of wealth and by conducting unreasonable searches and seizures in violation of the Fourth, Fourteenth, and Ninth Amendments.[SENTMARKER]TASC denied sub nom.[SENTMARKER]1 inequalities of state action.[SENTMARKER]The court denied TASC's motion to dismiss, and the case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","This case was brought pursuant to 42 U.S.C.  1983 to vindicate the right of the press and the public to attend, meaningfully observe, and gather and report on important information at California executions.[SENTMARKER]On information and belief, these 6 institutions, along with the California Governor’s Office and perhaps others, were responsible for 7 developing the regulations that govern the method for carrying out executions by lethal injection."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class action lawsuit was filed in the U.S. District Court for the Eastern District of California against the California Department of Corrections and Rehabilitation (CDCR) on behalf of state prisoners who are serving life sentences and eligible for parole consideration after having served their minimum terms.[SENTMARKER]The plaintiffs alleged that the CDCR violated the due process and equal protection clauses of the state and federal Constitutions by denying the plaintiffs their due process rights under the Due Process and Equal Protection clauses.[SENTMARKER]The court held a telephonic status conference on the motion for preliminary approval on October 1, 2015, which the court held on May 26, 2016.[SENTMARKER]The parties agreed to a process regarding the distribution of the order to the plaintiff class.[SENTMARKER]On May 26, 2016, the court entered a final judgment in favor of the plaintiffs."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","On October 10, 2018, a resident of Denver, Colorado, filed this lawsuit against the City and County of Denver in the United States District Court for the District of Colorado.[SENTMARKER]The plaintiff alleged that Denver's policy and practice required the plaintiff to pay an additional $50 bond fee in order to be released.[SENTMARKER]The court granted the plaintiff's motion for summary judgment, and the parties entered into a settlement agreement on December 21, 2018."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On June 12, 2014, a private vehicle owner filed this lawsuit in the U.S. District Court for the District of Columbia against the District Police Department, the Mayor of Washington, D.C., and the Chief of Police of the Metropolitan Police Department.[SENTMARKER]The plaintiff alleged that the District's policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings violated the property owners' constitutional rights.[SENTMARKER]The case was dismissed by the District Court of Columbia.[SENTMARKER]The Supreme Court ruled in favor of the plaintiffs, finding that neither delay violated the plaintiffs' rights."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","On July 6, 2018, a resident of Doraville, Georgia filed this lawsuit in the U.S. District Court for the Northern District of Georgia challenging the City's policy and practice of using its law enforcement and municipal court system for revenue generation.[SENTMARKER]Specifically, the plaintiffs claimed that the City violated their constitutional rights by implementing a custom or policy that caused them to be deprived of due process.[SENTMARKER]The case is now before the Court on Doraville's Motion to Dismiss [15] ordinances in a municipal court.[SENTMARKER]The plaintiffs sought nominal damages, injunctive relief, and a declaration and injunction.[SENTMARKER]The Court granted the defendants' motion to dismiss on July 6, 2018."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a group of Idaho death row inmates filed a lawsuit in the U.S. District Court for the District of Idaho against the Idaho Department of Corrections (IDOC) seeking a preliminary injunction regarding the procedures used for the execution of Mr. Richard Leavitt.[SENTMARKER]The plaintiffs alleged that the IDOC's procedures prevented the viewing of the entire execution process by the public and media.[SENTMARKER]The court granted the plaintiffs' motion for a permanent injunction on June 12, 2012.[SENTMARKER]The plaintiffs specifically allege that they do not want the scheduled execution delayed due to their lawsuit.[SENTMARKER]The parties agreed to modify their procedures to allow the witnesses to observe the execution from the moment the inmate enters the execution chamber through to and including the time the inmate is declared dead."
